,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11654,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19746737.0,19746737.0,False,,1,,,,2024-08-29T13:12:00.000Z,60392.51173175691,35071451735.09207,-19.6324,0.45703804,0.9498567,-0.65281485,-9.52451546,-1.63324643,-12.04404591,1192555045936.4182,56.1857,1268242746366.9,,2024-08-29T13:12:00.000Z,,,,,,2024-08-29 15:12:59.505899
1,1027,Ethereum,ETH,ethereum,9253,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120298529.85377939,120298529.85377939,True,,2,,,,2024-08-29T13:11:00.000Z,2571.5395501170383,16553423128.784338,-24.1243,0.57616211,2.02317714,-1.95719894,-23.40730201,-23.98148768,-32.64319033,309352427339.92896,14.5849,309352427339.93,,2024-08-29T13:11:00.000Z,,,,,,2024-08-29 15:12:59.505899
2,825,Tether USDt,USDT,tether,95922,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,118104595856.35669,120251893184.08086,True,,3,,,,2024-08-29T13:11:00.000Z,1.0000899194183388,58659038983.37011,-20.2293,-0.00597982,-0.03055017,-0.01540099,0.02015855,0.19976693,0.05206593,118115215752.91924,5.5602,120262706164.37,,2024-08-29T13:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-29 15:12:59.505899
3,1839,BNB,BNB,bnb,2222,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145935117.83926907,145935117.83926907,False,,4,,,,2024-08-29T13:11:00.000Z,544.2931260811997,1676237562.82814,-14.7176,0.05504657,0.61273362,-6.31493662,-5.11078198,-5.17808313,-8.9104211,79431481493.76402,3.7382,79431481493.76,,2024-08-29T13:11:00.000Z,,,,,,2024-08-29 15:12:59.505899
4,5426,Solana,SOL,solana,724,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466270858.6970729,583356255.8770479,True,,5,,,,2024-08-29T13:11:00.000Z,145.54184213483046,2405349123.606779,-21.4845,0.07119818,-1.15942553,1.67238441,-19.96967003,3.11230348,-14.48469093,67861919708.561226,3.1972,84902744101.22,,2024-08-29T13:11:00.000Z,,,,,,2024-08-29 15:12:59.505899
0,1,Bitcoin,BTC,bitcoin,11654,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19746737.0,19746737.0,False,,1,,,,2024-08-29T13:14:00.000Z,60407.84309512009,35062456274.473366,-19.5664,0.4916336,0.97719806,-0.67698013,-9.43657243,-1.60761773,-12.01308342,1192857790336.6025,56.1999,1268564704997.52,,2024-08-29T13:14:00.000Z,,,,,,2024-08-29 15:14:44.668510
1,1027,Ethereum,ETH,ethereum,9253,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120298529.85377939,120298529.85377939,True,,2,,,,2024-08-29T13:13:00.000Z,2573.9261000322094,16553325253.479937,-24.1336,0.66071194,2.00965506,-1.86759,-23.31469176,-23.89463931,-32.56029872,309639525786.1467,14.5985,309639525786.15,,2024-08-29T13:13:00.000Z,,,,,,2024-08-29 15:14:44.668510
2,825,Tether USDt,USDT,tether,95922,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,118104595856.35669,120251893184.08086,True,,3,,,,2024-08-29T13:13:00.000Z,1.0000381874530626,58636194618.64648,-20.2884,-0.01000404,-0.05780703,-0.01691667,0.01939921,0.19103742,0.04056903,118109105970.06743,5.5668,120256485297.61,,2024-08-29T13:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-29 15:14:44.668510
3,1839,BNB,BNB,bnb,2222,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145935117.83926907,145935117.83926907,False,,4,,,,2024-08-29T13:13:00.000Z,544.7868888070191,1675765819.621572,-14.7601,0.13666237,0.75200753,-6.21448404,-5.05016165,-5.12547042,-8.77319894,79503538815.34111,3.7484,79503538815.34,,2024-08-29T13:13:00.000Z,,,,,,2024-08-29 15:14:44.668510
4,5426,Solana,SOL,solana,724,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466270858.6970729,583356255.8770479,True,,5,,,,2024-08-29T13:13:00.000Z,145.66204830595262,2403702298.1931753,-21.585,0.13093092,-1.02641198,1.80168524,-19.98039783,3.10996439,-14.28289602,67917968343.19105,3.1999,84972867123.14,,2024-08-29T13:13:00.000Z,,,,,,2024-08-29 15:14:44.668510
